id;code;lang;text
41;fc.lower.body.all;DE;Po-Training, nicht sitzen! Dieses kurze Workout trainiert, stärkt, formt und strafft Beine und Po.
42;fc.lower.body.all;EN;Glutes On, Sit Off! This is a short workout to train, strengthen, shape and tone your legs and glutes.
43;fc.lower.body.all;ES;¡Glúteos activados, sin sentarse! Este es un entrenamiento corto para entrenar, fortalecer, tonificar y moldear tus piernas y glúteos.
44;fc.lower.body.all;FR;Des fessiers en action ! Un entraînement court pour entraîner, renforcer, sculpter et tonifier vos jambes et vos fessiers.
45;fc.stretch;DE;Stretching
46;fc.stretch;EN;Stretching
47;fc.stretch;ES;Estiramientos
48;fc.stretch;FR;Stretching
49;fc.stretch.all;DE;Schnell besser fühlen! Diese kurze Dehnübung konzentriert sich darauf, verspannte Muskeln zu lockern, die Flexibilität zu erhöhen und die allgemeine Beweglichkeit zu verbessern. Sie können diese Dehnübungen morgens nach dem Aufwachen, nach dem Training oder sogar vor dem Schlafengehen durchführen.
50;fc.stretch.all;EN;Feel Better Fast! This short stretch routine focuses on releasing tight muscles, increasing flexibility and improving your overall mobility. You can use this stretching routine when you wake up, after your workouts or even before bed.
51;fc.stretch.all;ES;¡Siéntete mejor rápidamente! Esta breve rutina de estiramientos se centra en liberar la tensión muscular, aumentar la flexibilidad y mejorar la movilidad general. Puedes usarla al despertar, después de entrenar o incluso antes de acostarte.
52;fc.stretch.all;FR;Sentez-vous mieux rapidement ! Cette courte routine d'étirements vise à détendre les muscles tendus, à améliorer la souplesse et la mobilité générale. Vous pouvez l'intégrer à votre routine au réveil, après votre séance de sport ou même avant de vous coucher.
53;fc.tag.cardio;DE;cardio
54;fc.tag.cardio;EN;cardio
55;fc.tag.cardio;ES;cardio
56;fc.tag.cardio;FR;cardio
57;fc.tag.strength;DE;Kraft
58;fc.tag.strength;EN;Strength
59;fc.tag.strength;ES;Fuerza
60;fc.tag.strength;FR;Force
61;fc.tag.stretch;DE;Dehnen
62;fc.tag.stretch;EN;Stretch
63;fc.tag.stretch;ES;Estiramientos
64;fc.tag.stretch;FR;Étirements
65;fc.upper.body;DE;Oberkörper
66;fc.upper.body;EN;Upper Body
67;fc.upper.body;ES;Tren Superior
68;fc.upper.body;FR;Haut du corps
69;fc.upper.body.all;DE;Entfessle deinen Oberkörper! Dieses kurze Workout stärkt, formt und strafft deine Rumpfmuskulatur, Arme, Schultern, Brust und Rücken.
70;fc.upper.body.all;EN;Unlock Your Upper Body! This is a short workout to strengthen, shape and tone your core, arms, shoulders, chest and back.
71;fc.upper.body.all;ES;¡Desbloquea la parte superior de tu cuerpo! Este es un entrenamiento corto para fortalecer, tonificar y moldear tu abdomen, brazos, hombros, pecho y espalda.
72;fc.upper.body.all;FR;Développez le haut de votre corps ! Un entraînement court pour renforcer, sculpter et tonifier vos abdominaux, vos bras, vos épaules, votre poitrine et votre dos.
73;greeting.library;DE;Man muss nicht alles tun, sondern nur das Richtige tun!
74;greeting.library;EN;You don't have to do everything just do the right thing!
75;greeting.library;ES;¡No tienes que hacerlo todo, simplemente haz lo correcto!
76;greeting.library;FR;Vous n'êtes pas obligé de tout faire, faites simplement ce qu'il faut!
77;greeting.today;DE;Willkommen zu Ihrer täglichen Dosis Wohlbefinden! Stärke ist die Grundlage, Wohlbefinden die Belohnung, Produktivität das Ergebnis!
78;greeting.today;EN;Welcome to your daily dose of wellness! Strength is the foundation, Feeling good is the reward, Productivity is the result!
79;greeting.today;ES;¡Bienvenido a tu dosis diaria de bienestar! La fuerza es la base, sentirse bien es la recompensa, la productividad es el resultado!
80;greeting.today;FR;Bienvenue dans votre dose quotidienne de bien-être! La force est le fondement, le bien-être est la récompense, la productivité est le résultat!
81;intensity.ADVANCED;DE;Fortgeschrittene
82;intensity.ADVANCED;EN;Advanced
83;intensity.ADVANCED;ES;Avanzado
84;intensity.ADVANCED;FR;Avancé
85;intensity.BEGINNER;DE;Anfänger
86;intensity.BEGINNER;EN;beginner
87;intensity.BEGINNER;ES;Principiante
88;intensity.BEGINNER;FR;Débutant
89;intensity.INTERMEDIATE;DE;Fortgeschritten
90;intensity.INTERMEDIATE;EN;Intermediate
91;intensity.INTERMEDIATE;ES;Intermedio
92;intensity.INTERMEDIATE;FR;Intermédiaire
